Metric,M-A (existing),M-C (optimized),Change (%)
Length L (km),22.462,22.387,-0.33%
Earthwork C_TU (10^8 RMB),0.0837,0.0112,-86.67%
Land acquisition CR (10^8 RMB),0.5049,0.5033,-0.33%
Life-cycle cost C (10^8 RMB),9.0304,8.9282,-1.13%
Life-cycle traffic energy E (10^8 RMB),13.2560,13.1506,-0.80%
Slope hazard Q,2.599,2.500,-3.82%
Min plane radius (m),-,435,(>=400 OK)
