scheme,C_1e8_RMB,E_1e8_RMB,L_km,Rmin_m,Q_mean,penalty
M-A,26.406144574676333,13.946045827597189,22.461813999966367,422.42787846545656,3.3093457943925237,0.0
M-B,23.92380781151199,13.96481167194314,22.49588964267358,421.1902796491105,3.2757009345794392,0.0
M-C,24.22393114135553,13.476605123154407,22.363538153941814,401.02567056600003,3.4204272363150867,0.0
Two-stage,23.158154754304928,13.456879558869291,22.365865649189086,397.05792459454506,3.3974632843791723,0.07359275057726418
