变体,Tent初始替换数/200,Tent初始ΔF(总),Levy逃逸率(停滞≥20代),Levy相对ΔF占比(%),DE相对ΔF占比(%),DE效率ΔF/kNFE,尾段100代DEΔF,多样性@100代,多样性@末代
V1 JS(基线),-,-,-,-,-,-,-,0.0047,0.0007
V2 JS+Tent,132,384.947,-,-,-,-,-,0.0050,0.0006
V3 JS+Levy,-,-,-,1.6,-,-,-,0.0046,0.0006
V4 JS+DE,-,-,-,-,3.3,0.0099,0.0174,0.0051,0.0003
V5 IJS(完整),132,384.947,-,1.2,3.1,0.0089,0.0178,0.0045,0.0003
