Metric,M-A,M-C,Change_percent,Unit
Life-cycle cost C,26.406144574676333,24.207755277354117,-8.325294482521638,1e8 RMB
Traffic energy E,13.946045827597189,13.5277593992705,-2.999319186940863,1e8 RMB
Length,22.461813999966367,22.474115096736103,0.054764485048952594,km
Minimum radius,422.42787846545656,420.9121783931568,-0.3588068282343926,m
Slope hazard Q,3.3093457943925237,3.2978638184245663,-0.34695606567959336,-
Tier-1 exposure,2.001,1.590999243268497,-20.4897929401051,km
Tier-2 exposure,0.0,0.0,0.0,km
