Front point,w1,w2,C (10^8 RMB),E (10^8 RMB),L (km),Rmin (m),ΔE vs knee (%),Zone
1,0.1,0.9,8.9841,12.2474,21.687,1020,-2.97,Energy-priority
2,0.2,0.8,8.6320,12.3955,21.640,998,-1.79,Energy-priority
3,0.3,0.7,8.5888,12.4202,21.634,1121,-1.60,Balanced
4,0.4,0.6,8.4779,12.5031,21.639,826,-0.94,Balanced
5,0.5,0.5,8.4200,12.5684,21.626,1065,-0.43,Balanced
6,0.6,0.4,8.4312,12.5856,21.662,1046,-0.29,Balanced
7,0.7,0.3,8.4304,12.6503,21.708,1028,+0.22,Cost-priority
8,0.8,0.2,8.4155,12.7283,21.714,947,+0.84,Cost-priority
9,0.9,0.1,8.4179,12.7663,21.735,804,+1.14,Cost-priority
