Corridor half-width (m),C (10^8 RMB),E (10^8 RMB),L (km),Eco tunnel (km),Rmin (m),Penalty
200,22.8982,13.5888,22.366,0.88,424,0.00e+00
250,21.5589,13.5997,22.328,0.34,400,0.00e+00
500,20.4287,13.4692,22.264,0.00,402,0.00e+00
1000,20.3934,13.3302,22.131,0.00,408,0.00e+00
2000,20.2586,13.0632,21.849,0.00,417,0.00e+00
2500,20.2169,13.0659,21.835,0.00,416,0.00e+00
