版本,说明,D_A_max,θ_pass,θ_forbid,Tier2 km²,Tier2 簇数,Tier1 km²,M-A∩Tier2 km,M-A∩Tier1 km,±500封堵,±500最窄m,±2500最窄m,可用,原因
V1,占地覆盖率 σ200 margin1.15,0.1836,0.1056,0.2111,27.29,35,62.25,0.000,2.000,0,625,2625,可用,—
V2,占地覆盖率 σ100 margin1.15,0.2504,0.1440,0.2880,15.44,103,51.63,0.000,0.850,0,600,1850,可用,—
V3,占地覆盖率 σ300 margin1.15,0.1497,0.0861,0.1722,38.23,16,70.22,0.000,2.312,0,675,2675,可用,—
V4,栋数密度 σ200 margin1.15,1.9613,1.1278,2.2555,27.56,24,33.11,0.000,1.925,0,600,1775,可用,—
V5,体量(占地×层数) σ200 margin1.15,0.4273,0.2457,0.4914,58.80,21,28.07,0.000,0.425,0,1000,3000,可用,—
V6,占地覆盖率 σ200 margin1.00 无形态学后处理(最严),0.1836,0.0918,0.1836,38.90,42,62.50,0.000,2.250,0,525,2275,可用,—
