变体,最优F,均值F,中位数F,标准差,F@100代,F@300代,到达JS终值代数,自身99%收敛代数,每代NFE(×pop),运行时间(s),相对JS提升(%),配对Wilcoxon p(vs JS)
V1 JS(基线),1.1123,1.2301,1.2131,0.0917,2.201,1.229,300,211.6,1,31.80,+0.00,-
V2 JS+Tent,1.1104,1.2607,1.2886,0.0868,2.504,1.296,>300,213.9,1,33.14,-2.49,0.625
V3 JS+Levy,1.0348,1.1277,1.1372,0.0669,2.004,1.153,249,185.0,2,62.89,+8.32,0.0273
V4 JS+DE,0.7545,0.8234,0.8297,0.0398,1.682,0.834,154,165.7,2,68.78,+33.06,0.00195
V6 JS+Tent+Levy,1.0433,1.0900,1.0793,0.0372,1.832,1.088,229,191.5,2,63.29,+11.39,0.00195
V7 JS+Tent+DE,0.7653,0.8335,0.8428,0.0397,1.485,0.844,139,167.3,2,69.67,+32.24,0.00195
V8 JS+Levy+DE,0.7593,0.8068,0.8016,0.0365,1.452,0.813,132,153.1,3,96.52,+34.41,0.00195
V5 IJS(完整),0.7581,0.8131,0.8027,0.0421,1.512,0.810,139,158.9,3,97.00,+33.90,0.00195
