Front point,w1,w2,C (10^8 RMB),E (10^8 RMB),L (km),Rmin (m),ΔE vs knee (%),Zone
1,0.1,0.9,66.3216,7.7346,22.358,423,-43.31,Energy-priority
2,0.2,0.8,27.3966,13.1468,22.375,424,-3.64,Energy-priority
3,0.3,0.7,25.3338,13.4103,22.365,423,-1.71,Balanced
4,0.4,0.6,24.6043,13.4744,22.418,422,-1.23,Balanced
5,0.5,0.5,24.0858,13.5038,22.400,400,-1.02,Balanced
6,0.6,0.4,23.6332,13.5241,22.372,401,-0.87,Balanced
7,0.7,0.3,23.5144,13.6497,22.371,401,+0.05,Cost-priority
8,0.8,0.2,24.2649,13.8536,22.487,421,+1.54,Cost-priority
9,0.9,0.1,24.5703,13.9098,22.488,421,+1.96,Cost-priority
