Sensitivity item,Output,Extremum,At parameter
① Traffic × EV penetration,Max C (10^8 RMB),24.8638,"traffic 10%, EV 95%"
① Traffic × EV penetration,Max E (10^8 RMB),67.8214,"traffic 10%, EV 0%"
② Fuel × elec price,Max E (10^8 RMB),26.4768,"fuel 5%, elec 5%"
③ Fuel- × elec-saving,E drop at 5%&5% (%),5.39,"fuel-save 5%, elec-save 5%"
