Algorithm,Runs,HV mean (↑),HV SD,HV Holm p,IGD mean (↓),IGD SD,IGD Holm p,Spacing mean (↓),Spacing SD,Spacing Holm p,Front points mean,Pooled front points
IJS,10,0.2389,0.0357,-,0.1674,0.0384,-,0.1581,0.0948,-,6.2,20
JS,10,0.2230,0.0369,8.26e-01,0.1669,0.0471,1.00e+00,0.3882,0.1083,2.93e-02,5.6,21
NSGA-II,10,0.3518,0.0035,9.77e-03,0.0096,0.0032,9.77e-03,0.0020,0.0002,9.77e-03,200.0,261
GA,10,0.1968,0.0200,1.09e-01,0.1536,0.0261,1.00e+00,0.3477,0.0916,9.77e-03,4.7,17
PSO,10,0.2261,0.0345,8.26e-01,0.1479,0.0418,1.00e+00,0.2017,0.1775,1.00e+00,5.9,17
GWO,10,0.2335,0.0357,8.26e-01,0.1619,0.0384,1.00e+00,0.1699,0.1522,1.00e+00,5.6,21
