Algorithm,Runs,"Runtime PJ1, mean±SD (s)","Runtime PJ2, mean±SD (s)","Runtime PJ3, mean±SD (s)","Runtime PJ4, mean±SD (s)","Runtime PJ5, mean±SD (s)","Runtime PJ6, mean±SD (s)","Final F PJ1, mean±SD","Final F PJ2, mean±SD","Final F PJ3, mean±SD","Final F PJ4, mean±SD","Final F PJ5, mean±SD","Final F PJ6, mean±SD"
IJS,10,1331.28±442.51,1339.08±446.02,1337.71±444.03,1336.67±448.85,1329.53±438.86,1323.09±435.40,0.6710±0.0050,0.6095±0.0043,0.7165±0.0034,0.7187±0.0050,0.7843±0.0048,0.8404±0.0019
JS,10,642.52±15.76,644.58±19.22,645.48±20.18,646.36±18.21,643.10±15.48,640.26±11.66,0.6800±0.0053,0.6235±0.0071,0.7252±0.0063,0.7291±0.0046,0.7994±0.0082,0.8638±0.0044
NSGA-II,10,656.19±25.20,659.90±29.40,658.85±25.10,657.20±33.36,659.00±26.97,654.90±30.64,0.6827±0.0054,0.6302±0.0083,0.7323±0.0057,0.7320±0.0083,0.8456±0.0171,15.6527±1.1636
GA,10,648.31±15.01,649.00±17.38,647.97±16.21,650.30±19.20,645.35±18.46,647.72±15.48,0.7128±0.0106,0.6533±0.0165,0.7562±0.0056,0.7493±0.0077,5.6722±0.6506,25.7438±1.1703
PSO,10,634.91±18.69,638.37±14.91,637.29±13.54,611.53±11.20,608.11±11.45,603.85±7.35,0.7052±0.0126,0.6399±0.0101,0.7455±0.0084,0.7674±0.0077,9.2306±0.9721,32.7526±0.6658
GWO,10,640.39±17.09,643.10±10.74,645.64±17.81,638.84±14.64,616.63±7.87,609.97±10.67,0.6842±0.0081,0.6248±0.0063,0.7252±0.0033,0.7288±0.0064,1.1217±0.0194,5.3497±1.3959
