Algorithm,Best F,Mean F,Std F,Wilcoxon p (vs IJS),Friedman rank
IJS,0.7054,0.7087,0.0045,-,1.10
JS,0.7127,0.7237,0.0063,5.07e-04,2.70
NSGA-II,0.7203,0.7282,0.0053,1.57e-04,3.60
GA,0.7322,0.7515,0.0090,1.57e-04,5.70
PSO,0.7324,0.7436,0.0070,1.57e-04,5.30
GWO,0.7161,0.7233,0.0046,3.81e-04,2.60
