Algorithm,Runs,Best F,Mean F,Median F,Std F,Paired Wilcoxon p (vs IJS),Holm-adjusted p,Friedman rank
IJS,10,0.8375,0.8404,0.8409,0.0019,-,-,1.00
JS,10,0.8560,0.8638,0.8662,0.0044,1.95e-03,9.77e-03,2.00
NSGA-II,10,14.0804,15.6527,15.5989,1.1636,1.95e-03,9.77e-03,4.00
GA,10,23.4880,25.7438,26.0080,1.1703,1.95e-03,9.77e-03,5.00
PSO,10,31.9052,32.7526,32.7105,0.6658,1.95e-03,9.77e-03,6.00
GWO,10,3.7698,5.3497,5.2560,1.3959,1.95e-03,9.77e-03,3.00
