Algorithm,Runs,HV mean (↑),HV SD,HV Holm p,IGD mean (↓),IGD SD,IGD Holm p,Spacing mean (↓),Spacing SD,Spacing Holm p,Front points mean,Pooled front points
IJS,10,1054.8048,0.1812,-,0.0862,0.0018,-,0.0149,0.0052,-,5.8,13
JS,10,1053.6400,0.1744,9.77e-03,0.1056,0.0022,9.77e-03,0.0075,0.0044,9.77e-03,5.7,12
NSGA-II,10,316.4963,29.7732,9.77e-03,20.7364,1.2041,9.77e-03,0.0000,0.0000,9.77e-03,1.1,1
GA,10,102.9059,24.9307,9.77e-03,31.6139,1.7050,9.77e-03,0.0000,0.0000,9.77e-03,1.0,1
PSO,10,7.6028,5.4860,9.77e-03,42.1666,1.2709,9.77e-03,0.0000,0.0000,9.77e-03,1.1,1
GWO,10,900.7743,63.0120,9.77e-03,3.6170,1.3173,9.77e-03,0.0000,0.0000,9.77e-03,1.0,1
