变体,最优F,均值F,中位数F,标准差,F@100代,F@300代,到达JS终值代数,自身99%收敛代数,每代NFE(×pop),运行时间(s),相对JS提升(%),Wilcoxon p(vs JS)
V1 JS(基线),0.8472,0.9427,0.9461,0.0508,2.512,1.300,500,314.9,1,80.61,+0.00,-
V2 JS+Tent,0.8474,0.9943,1.0026,0.0720,2.829,1.500,>500,309.7,1,45.20,-5.47,0.00275
V3 JS+Levy,0.7999,0.9068,0.9091,0.0566,2.079,1.178,450,273.5,2,160.10,+3.81,0.0199
V4 JS+DE,0.6309,0.7014,0.6999,0.0312,1.796,0.808,221,202.0,2,155.41,+25.60,3.02e-11
V6 JS+Tent+Levy,0.8494,0.9287,0.9257,0.0420,2.217,1.151,468,265.0,2,151.47,+1.48,0.234
V7 JS+Tent+DE,0.6347,0.6975,0.6970,0.0311,1.726,0.798,220,199.8,2,83.15,+26.02,3.02e-11
V8 JS+Levy+DE,0.6309,0.7001,0.6902,0.0376,1.575,0.769,200,185.6,3,120.43,+25.74,3.02e-11
V5 IJS(完整),0.6465,0.7001,0.6961,0.0300,1.520,0.804,213,186.8,3,116.16,+25.73,3.02e-11
