变体,最优F,均值F,中位数F,标准差,F@100代,F@300代,到达JS终值代数,自身99%收敛代数,每代NFE(×pop),运行时间(s),相对JS提升(%),配对Wilcoxon p(vs JS)
V1 JS(基线),1.1123,1.2301,1.2131,0.0917,2.201,1.229,300,211.6,1,20.64,+0.00,-
V2 JS+Tent,1.0805,1.2006,1.2046,0.0642,2.306,1.209,291,210.6,1,21.85,+2.39,0.557
V3 JS+Levy,1.0348,1.1277,1.1372,0.0669,2.004,1.153,249,185.0,2,40.19,+8.32,0.0273
V4 JS+DE,0.7545,0.8234,0.8297,0.0398,1.682,0.834,154,165.7,2,42.91,+33.06,0.00195
V5 IJS(完整),0.7298,0.7877,0.7800,0.0350,1.440,0.781,122,146.3,3,58.36,+35.96,0.00195
