编号,变体名称,Tent初始化,Levy飞行,差分进化DE
V1,JS(基线),✗,✗,✗
V2,JS + Tent,✓,✗,✗
V3,JS + Levy,✗,✓,✗
V4,JS + DE,✗,✗,✓
V5,IJS(完整),✓,✓,✓
