primary,comparator,metric,direction,IJS_feasible_comparator_not,comparator_feasible_IJS_not,feasibility_exact_p_raw,n_pairs,median_diff,ci_low,ci_high,p_raw,rank_biserial,p_holm,feasibility_exact_p_holm
V5_IJS,V1_JS,E,comparator_minus_IJS_positive_favors_IJS,0,0,1.0,20,749860.4990383387,-127680.25385653973,1382894.6149065495,0.01923370361328125,0.5904761904761905,0.0384674072265625,1.0
V5_IJS,GA,E,comparator_minus_IJS_positive_favors_IJS,0,0,1.0,20,7804319.420689225,7408670.292580843,8304975.582377911,1.9073486328125e-06,1.0,9.5367431640625e-06,1.0
V5_IJS,PSO,E,comparator_minus_IJS_positive_favors_IJS,0,0,1.0,20,6163489.363979697,5090132.67703414,7486267.756335616,5.7220458984375e-06,0.9809523809523809,2.288818359375e-05,1.0
V5_IJS,GWO,E,comparator_minus_IJS_positive_favors_IJS,0,0,1.0,20,1611410.471703291,932514.1393595934,3165341.643271208,0.0019855499267578125,0.7523809523809524,0.0059566497802734375,1.0
V5_IJS,NSGA-II,E,comparator_minus_IJS_positive_favors_IJS,0,0,1.0,20,-1815154.5011419058,-3329363.8097605705,91974.27909970284,0.0758514404296875,-0.45714285714285713,0.0758514404296875,1.0
