Algorithm,HV (↑),IGD (↓),Spacing (↓),Front points
IJS,0.1707,0.0134,0.0193,10
JS,0.1643,0.0107,0.0139,10
NSGA-II,0.1672,0.0025,0.0003,200
GA,0.0222,0.3196,0.0322,4
PSO,0.0136,0.3988,0.0000,2
GWO,0.1645,0.0227,0.0190,4
