Algorithm,Best F,Mean F,Std F,Wilcoxon p (vs IJS),Friedman rank
IJS,0.7053,0.7090,0.0033,-,1.00
JS,0.7108,0.7215,0.0066,3.81e-04,2.50
NSGA-II,0.7161,0.7287,0.0080,1.57e-04,3.10
GA,0.7370,0.7489,0.0071,1.57e-04,5.10
PSO,0.7527,0.7632,0.0072,1.57e-04,5.90
GWO,0.7149,0.7276,0.0070,2.12e-04,3.40
