Algorithm,HV (↑),IGD (↓),Spacing (↓),Front points
IJS,11602168.7578,0.1197,0.0000,11
JS,9793840.3448,552.6124,0.0000,3
NSGA-II,1618703.7167,4264.4823,0.0000,1
GA,401200.3458,5541.4355,0.0000,11
PSO,26314.1248,6483.2705,0.0000,11
GWO,11599654.7246,1.3163,0.0000,1
