Algorithm,Best F,Mean F,Std F,Wilcoxon p (vs IJS),Friedman rank
IJS,28.4686,30.5470,1.2260,-,2.00
JS,40.6840,43.4883,1.6032,2.87e-11,3.00
NSGA-II,263.5275,271.7264,4.0987,2.87e-11,4.00
GA,478.3373,510.3315,18.4275,2.87e-11,5.00
PSO,619.0456,641.8140,9.4355,2.87e-11,6.00
GWO,12.2182,12.4699,0.1750,2.87e-11,1.00
