Algorithm,Best F,Mean F,Std F,Wilcoxon p (vs IJS),Friedman rank
IJS,0.4729,0.4735,0.0002,-,1.00
JS,0.5059,0.5364,0.0237,2.87e-11,2.00
NSGA-II,6.1293,6.9254,0.4014,2.87e-11,4.00
GA,29.2001,34.0587,2.5153,2.87e-11,5.67
PSO,26.5214,35.5269,7.5906,2.87e-11,5.33
GWO,1.0477,1.0528,0.0020,2.87e-11,3.00
