Algorithm,HV (↑),IGD (↓),Spacing (↓),Front points
IJS,534.0213,0.0000,0.0000,1
JS,523.0696,0.3369,0.0000,1
NSGA-II,291.0679,8.5531,0.0000,1
GA,1.2822,31.0807,0.0000,6
PSO,25.8386,25.4826,0.0000,1
GWO,487.8960,1.5704,0.0000,1
