Algorithm,Runtime P1 (s),Runtime P2 (s),Runtime P3 (s),Runtime P4 (s),Runtime P5 (s),Runtime P6 (s),Best F  P1,Best F  P2,Best F  P3,Best F  P4,Best F  P5,Best F  P6
IJS,188.05,191.90,241.02,290.01,396.52,614.27,0.7186,0.6911,0.7581,3.3228,13.9699,42.8888
JS,71.02,67.69,80.74,84.14,104.03,73.70,0.7187,0.6917,0.9973,7.4249,47.1630,423.3408
NSGA-II,78.67,79.53,90.88,100.30,106.63,87.95,0.7198,0.6995,7.1303,48.1127,295.4426,2169.1490
GA,68.52,70.32,78.69,85.12,51.60,78.54,0.8139,1.2418,23.8137,123.9927,568.3790,4138.4646
PSO,66.57,68.15,74.92,57.03,52.33,77.75,0.8987,1.3144,21.9931,166.8405,735.5675,4929.6389
GWO,70.84,71.90,51.08,42.46,50.01,79.57,0.7185,0.8205,1.8140,5.4639,14.1262,40.4515
