Algorithm,HV (↑),IGD (↓),Spacing (↓),Front points
IJS,247070.1392,18.5440,0.0000,1
JS,238002.4088,32.4693,0.0000,1
NSGA-II,72602.3557,363.0654,0.0000,1
GA,15148.7228,584.6255,0.0000,11
PSO,610.7321,733.5759,0.0000,11
GWO,259579.3632,0.0000,0.0000,1
