Algorithm,Best F,Mean F,Std F,Wilcoxon p (vs IJS),Friedman rank
IJS,0.6570,0.6617,0.0051,-,1.00
JS,0.6697,0.6771,0.0052,5.07e-04,2.50
NSGA-II,0.6737,0.6792,0.0045,1.57e-04,2.90
GA,0.6939,0.7103,0.0088,1.57e-04,5.90
PSO,0.6841,0.7023,0.0116,1.57e-04,4.90
GWO,0.6715,0.6843,0.0065,2.12e-04,3.80
