Algorithm,HV (↑),IGD (↓),Spacing (↓),Front points
IJS,1.8427,0.0005,0.0046,11
JS,1.8372,0.0018,0.0028,9
NSGA-II,1.8205,0.0093,0.0005,32
GA,0.0164,1.8146,0.0086,3
PSO,0.1008,1.1575,0.0000,1
GWO,1.2018,0.3540,0.0732,3
