Algorithm,Best F,Mean F,Std F,Wilcoxon p (vs IJS),Friedman rank
IJS,3.5877,4.0950,0.2593,-,1.00
JS,6.4215,6.9772,0.3102,2.87e-11,3.00
NSGA-II,42.0643,44.5898,1.1711,2.87e-11,4.00
GA,104.2124,113.5715,5.4340,2.87e-11,5.00
PSO,140.2100,149.0626,2.8709,2.87e-11,6.00
GWO,4.6408,4.9755,0.1721,3.18e-11,2.00
