Algorithm,Best F,Mean F,Std F,Wilcoxon p (vs IJS),Friedman rank
IJS,0.6317,0.6320,0.0002,-,1.00
JS,0.6324,0.6337,0.0008,3.88e-11,2.00
NSGA-II,0.6395,0.6436,0.0040,2.87e-11,3.00
GA,1.1163,1.5401,0.1781,2.87e-11,5.43
PSO,1.2488,1.6011,0.1735,2.87e-11,5.57
GWO,0.7016,0.9286,0.0805,2.87e-11,4.00
