Algorithm,Best F,Mean F,Std F,Wilcoxon p (vs IJS),Friedman rank
IJS,0.5928,0.5986,0.0045,-,1.00
JS,0.5977,0.6104,0.0049,8.81e-04,2.30
NSGA-II,0.6095,0.6240,0.0057,1.57e-04,3.80
GA,0.6269,0.6478,0.0171,1.57e-04,5.60
PSO,0.6184,0.6370,0.0113,1.57e-04,5.10
GWO,0.6111,0.6194,0.0070,1.57e-04,3.20
