Algorithm,Best F,Mean F,Std F,Wilcoxon p (vs IJS),Friedman rank
IJS,0.6749,0.6749,0.0000,-,1.07
JS,0.6749,0.6750,0.0001,2.95e-08,1.93
NSGA-II,0.6762,0.6770,0.0004,2.87e-11,3.07
GA,0.7766,0.8667,0.0456,2.87e-11,5.13
PSO,0.8641,0.9415,0.0496,2.87e-11,5.87
GWO,0.6754,0.7326,0.0372,2.87e-11,3.93
