Algorithm,HV (↑),IGD (↓),Spacing (↓),Front points
IJS,21411.2946,0.0000,0.0000,1
JS,20399.5139,5.2337,0.0000,1
NSGA-II,10109.9665,68.5221,0.0000,1
GA,1937.9610,153.1370,0.0000,11
PSO,50.3759,208.4461,0.0000,11
GWO,20858.8600,3.1246,0.0000,1
