变体,最优F,均值F,中位数F,标准差,F@100代,F@300代,到达JS终值代数,自身99%收敛代数,每代NFE(×pop),运行时间(s),相对JS提升(%),Wilcoxon p(vs JS)
V1 JS(基线),0.8148,0.9133,0.9029,0.0637,2.547,1.235,500,313.7,1,58.87,+0.00,-
V2 JS+Tent,0.7699,0.8989,0.8891,0.0605,2.227,1.183,478,313.8,1,56.97,+1.58,0.464
V3 JS+Levy,0.7757,0.8787,0.8807,0.0558,2.095,1.151,462,268.4,2,98.60,+3.79,0.0555
V4 JS+DE,0.6354,0.6926,0.6912,0.0315,1.679,0.815,241,202.8,2,74.91,+24.17,3.02e-11
V5 IJS(完整),0.6330,0.6808,0.6725,0.0340,1.292,0.739,187,184.6,3,120.23,+25.45,3.02e-11
